,Make,Mean Model Price (£),Year,Mileage,Transmission,Engine Size (L),Fuel Type,Actual Car Price (£),Indicated Value
170,bmw,6605.586206896552,2006,103000,Automatic,2.5,Petrol,3795,Great
171,volvo,3060.6470588235293,2006,96000,Manual,1.6,Petrol,1595,Great
172,vauxhall,5872.614054054054,2006,70000,Manual,1.2,Petrol,1695,Higher
173,audi,3530.615384615385,2006,111000,Manual,1.8,Petrol,1999,Lower
174,saab,2922.2045454545455,2006,58000,Manual,1.9,Diesel,1995,Lower
175,alfa romeo,3642.0,2006,65951,Manual,2.4,Diesel,4895,Good
176,toyota,5178.913043478261,2006,131000,Manual,2.0,Petrol,1998,Great
177,toyota,3982.165680473373,2006,79000,Automatic,1.3,Petrol,2790,Fair
178,jaguar,2879.285714285714,2006,114000,Automatic,3.0,Petrol,1790,Lower
179,audi,7253.379310344828,2006,118000,Manual,1.9,Diesel,1990,Higher
180,vauxhall,4687.431330472104,2006,73000,Manual,1.6,Petrol,1695,Fair
181,jaguar,2722.8387096774195,2006,106000,Automatic,2.5,Petrol,1989,Fair
182,toyota,6102.8,2006,97083,Automatic,1.6,Petrol,2000,Great
183,nissan,6973.2,2006,95000,Manual,2.2,Diesel,2750,Lower
184,land rover,4513.076923076923,2006,137648,Manual,2.0,Diesel,2000,Fair
185,mini,6426.404682274248,2006,76978,Manual,1.6,Petrol,1750,Great
186,nissan,6429.567010309279,2006,91794,Automatic,1.4,Petrol,1690,Good
187,mini,6426.404682274248,2006,117476,Manual,1.6,Petrol,1900,Fair
188,vauxhall,4687.431330472104,2006,79581,Manual,1.6,Petrol,2000,Higher
189,fiat,2123.4,2006,90000,Manual,1.9,Diesel,1790,Fair
190,mercedes-benz,7442.675,2006,113000,Automatic,1.8,Petrol,1795,Great
191,skoda,8090.169014084507,2006,152000,Manual,2.0,Diesel,1850,Fair
192,mini,6426.404682274248,2006,63437,Manual,1.6,Petrol,1881,Lower
193,ford,4588.875,2006,104611,Manual,2.0,Diesel,1995,Lower
194,vauxhall,4687.431330472104,2006,96776,Manual,1.9,Diesel,5995,Higher
195,volvo,5881.266666666666,2006,81000,Automatic,2.4,Diesel,2999,Fair
196,audi,7305.4,2006,97000,Manual,3.2,Petrol,5490,Lower
197,honda,3139.08,2006,57250,Manual,2.2,Diesel,2849,Great
198,honda,4698.149350649352,2006,60000,Manual,1.4,Petrol,1675,Lower
199,nissan,1799.0,2006,22000,Manual,1.6,Petrol,1998,Lower
200,suzuki,8234.708333333334,2006,58901,Manual,1.5,Petrol,1895,Fair
201,ford,2203.95,2006,22974,Manual,1.4,Diesel,2650,Higher
202,toyota,3982.165680473373,2006,58000,Manual,1.0,Petrol,1800,Great
203,renault,5933.241258741258,2006,56876,Manual,1.2,Petrol,1550,Higher
204,hyundai,1965.5,2006,46904,Automatic,1.4,Petrol,2000,Great
205,volkswagen,5994.9082568807335,2006,77000,Automatic,2.0,Diesel,2695,Good
206,peugeot,2056.6666666666665,2006,22000,Manual,1.4,Petrol,2195,Higher
207,mercedes-benz,4746.666666666667,2006,82170,Automatic,1.8,Petrol,3990,Lower
209,volkswagen,6953.277192982456,2006,101000,Manual,1.6,Petrol,1995,Great
210,ford,4588.875,2006,114000,Manual,2.0,Diesel,1995,Lower
211,fiat,1951.35,2006,35330,Manual,1.2,Petrol,1695,Great
212,toyota,3453.475409836065,2006,91000,Manual,1.6,Petrol,1890,Good
213,volvo,3124.666666666666,2006,108000,Automatic,2.4,Diesel,3500,Fair
214,ford,6281.729041916167,2006,33000,Manual,1.25,Petrol,1995,Great
215,volkswagen,6736.627009646302,2006,94000,Manual,1.2,Petrol,1550,Great
